Fisrt_Name,Last_Name,Gender,Age,Length_Service,Absent_Hours,distribution_centers_id
Gay,Donald,M,44.10973,12.305714,78.84098352,6
Green,Earnest,M,52.78875734,4.589520028,110.1543068,5
Riley,Wendy,F,35.63044266,3.947661015,33.93440994,6
Malizia,Randall,M,42.4342557,3.387128544,28.60483097,4
Lopez,Florence,F,40.96753752,3.285283682,44.9874293,2
Howell,Carol,F,46.77086356,1.991692074,126.5011301,5
Chico,Joyce,F,45.3008103,5.567973876,19.6191458,1
White,Anthony,M,38.29655279,6.095617444,0,6
Smith,Danny,M,35.4939,8.348239,44.97411152,5
Porter,Ana,F,41.66134173,4.711743887,45.95478779,3
Depaz,Shari,F,43.5118766,1.778630937,83.3173005,10
Witkowski,Alice,F,54.00481868,2.870591513,136.3424045,10
Alvarez,Kenneth,M,46.22423463,4.416249838,53.3120259,4
Morales,Soledad,F,47.65733071,4.252453434,96.6132406,2
Burden,Alexis,F,51.99137493,2.964089468,140.9111414,6
Dyal,William,M,33.3683369,2.301876593,31.69229831,1
Hayden,Kenneth,M,47.6040848,4.149329545,12.68410865,1
Caban,Joshua,M,34.6622,13.828331,54.30033232,9
Knight,Mildred,F,37.24006,18.641316,0,4
Thurmond,Linda,F,45.47882196,6.837239767,103.3493697,8
Monroe,Terra,F,26.91367155,3.983950436,0,3
Velez,Colleen,F,37.74242382,3.569517999,49.84641191,2
Martin,Lisa,F,40.49192,1.223785,58.28770605,3
Godfrey,Ramon,M,48.62992513,5.534431308,110.8124796,2
Jackson,Monica,F,52.18642804,5.333357014,158.6843997,7
Craig,Cristina,F,37.91257982,4.677505826,73.47603875,5
Schooley,Daniel,M,29.40947244,4.853084899,2.187241945,8
Wireman,Jacquie,F,51.17022316,4.954787053,99.80856689,6
Tripp,Simone,F,39.46457145,1.914256944,34.77626973,5
Cousins,Jessica,F,26.67920383,4.850275414,0,4
Drake,Mildred,F,46.54737692,7.40795942,81.7411048,10
Gilreath,Mary,F,39.23785234,5.28876626,51.75805976,2
Lundin,Edwina,F,49.02908732,2.992767917,121.0074252,5
Gleason,Esther,F,43.74006,16.587192,48.37309828,3
Sharma,Donald,M,55.82635616,2.020945438,137.4598877,7
Hash,Yvonne,F,44.00105092,4.03442867,98.5576777,2
Harris,Arnold,M,29.6692902,2.920694436,0,5
Massey,Christie,F,46.08440537,4.834791047,44.00185941,6
Webber,Hobert,M,27.86599272,4.51966396,0,6
Edmondson,Cynthia,F,37.38317605,4.934654158,39.10172396,9
Paschall,Marjorie,F,50.43589901,5.505354659,138.9330403,1
Johnson,Dexter,M,46.58616386,4.74303968,63.03007856,5
Fox,Keith,M,50.28113997,5.319611026,98.3228922,2
Kamen,Alan,M,39.04622933,1.733551364,56.30433228,7
Ogden,Nancy,F,37.49357924,5.272417507,25.46792975,2
Ervin,Patricia,F,47.5184211,3.813679718,96.88371667,1
Clark,Pauline,F,50.24461391,3.450234407,118.490501,8
Andrews,Debra,F,40.32982676,6.277340487,34.02042059,6
Calderon,Sybil,F,36.92447866,6.283404129,72.79408579,3
Torres,Lee,M,33.17869,3.616228,0,7
Ward,James,M,32.75941298,7.100916929,0,3
Browning,Christiane,F,58.57572963,6.547789836,153.2632323,1
Wurth,William,M,23.94839693,5.192754104,0,3
Prescott,Wesley,M,43.20353674,7.921398042,53.84737103,3
Dunham,Ligia,F,52.64638663,4.990343166,113.9617749,9
Garrett,Steve,M,45.82458879,3.39067547,79.10668824,8
Alexander,Tyrone,M,35.53798668,5.764585657,29.98231177,9
Cheek,Mary,F,37.84977345,1.976125041,68.40403177,8
Ackerman,Carrie,F,43.2858,21.122314,30.99399888,10
Johnson,Patricia,F,24.36946429,3.769958819,0,2
Haley,Carey,M,45.92597301,6.680159831,40.05948151,7
Hall,Maria,F,32.63626674,3.122804778,49.65651125,5
Bunch,Terra,F,39.38889368,3.731981529,94.2773662,6
Martin,Terry,M,35.69832217,1.881003024,58.09452779,7
Bass,Brian,M,49.71959048,4.205191727,62.16083824,4
Wagner,Robert,M,54.67226,17.149135,30.45802032,10
McBride,Joanne,F,44.00556211,3.729336444,90.81179196,3
Johnson,Paul,M,36.480086,18.480086,37.1157124,10
Cook,Anthony,M,55.76305,11.44132,0,1
Loch,Dean,M,43.1563698,5.174066619,63.18923992,4
Defoor,James,M,56.55995386,4.927399666,101.9347516,3
Wadlington,Arthur,M,43.12316447,2.480452998,45.48992662,6
Harte,Vanessa,F,50.35361623,3.006138301,124.2025327,4
Galindo,Zachary,M,49.47613903,4.687620059,56.92397595,2
Reardon,Kenneth,M,39.73937,16.8497,0,6
Flores,Doris,F,44.10973,11.954267,111.7755846,5
Busch,Alice,F,35.4939,13.707758,0,1
Phillips,Alfredo,M,61.44050167,3.439750719,96.260697,2
Lopez,Christopher,M,47.87764919,3.44226196,58.15296878,3
Fernandez,Emma,F,34.6622,5.689747,40.14572515,10
Westling,Sharonda,F,37.85526055,7.02162411,92.24730012,1
Pelletier,Ronald,M,57.89963249,5.586855486,116.0821581,4
Chacon,William,M,37.24006,2.759389,24.50390384,10
Petty,Leland,M,37.97420752,2.519988839,17.06972082,5
Whitmire,Ernestine,F,40.49192,6.408469,90.16966119,8
Rivers,Matthew,M,49.07042916,6.154288207,46.52578004,2
Meyers,Kim,F,55.93339775,4.507594802,156.6886593,2
Hebert,Sheree,F,27.38177556,5.882383018,14.38568387,3
Jacques,Pearl,F,51.85696413,2.856147379,113.2580344,3
Valdez,Gabriela,F,61.3978081,2.771944271,159.968214,9
Vidrine,Harold,M,66.06890246,4.235105015,223.778841,9
Carbone,Edith,F,43.74006,23.746003,0,2
Hernandez,Leonard,M,40.45052007,3.839194051,79.12363725,2
Campbell,Frank,M,57.35063799,6.032330926,154.2577252,5
Raley,Charlie,M,31.38918207,4.08229079,0,3
Rayfield,Robert,M,35.80744,17.80744,0,7
Shea,Melinda,F,52.1325405,6.524270599,88.45913805,10
Coleman,David,M,30.55156977,4.994952013,0,4
Haynes,Patrick,M,54.55066069,5.582832837,95.49894843,3
Bonilla,Frederick,M,49.85965201,3.415872649,120.0797189,5
Tobin,Sonia,F,43.2858,13.56324,0,8
Wood,Denise,F,30.04004847,5.287380572,0,1
Guajardo,Cynthia,F,42.51405735,0.696873054,82.89702302,1
Marshall,Caroline,F,49.27493559,5.039542872,121.3682638,4
Ray,James,M,38.15800998,3.999675679,34.20118293,9
Baum,Stephanie,F,45.5594,14.410268,69.47820963,1
Dubin,Joesph,M,44.0545011,4.48261494,56.19587246,10
Giles,Sarah,F,43.53401993,4.978325753,61.49474478,8
Layman,Angelica,F,42.63644281,5.982794346,60.09046813,1
Martin,Michaela,F,44.24521906,0.840480646,66.31549844,6
Williams,Michael,M,45.94124227,3.842333733,71.55570239,1
Hoyt,Arnold,M,37.99890445,6.982080942,33.94380532,10
Belliveau,Tina,F,33.403431,3.959062909,46.92397933,10
Hoffman,Marvin,M,40.34235317,3.204713851,40.23300149,2
Slavin,Paul,M,37.80852455,4.947165495,29.16170217,2
Rosenfeld,Mary,F,42.31715261,2.048207893,44.15691237,3
Bryan,Larry,M,45.01263,12.688114,47.51121024,1
Hines,Oswaldo,M,34.28047515,4.044062622,0,5
Finley,Anna,F,49.14973,1,121.7851932,5
McCaffery,Francis,M,35.36492589,5.028810793,31.13908709,3
Ditch,Diana,F,53.64586019,5.138841132,79.22102251,7
Foster,Bonnie,F,43.934345,25.934345,38.55781831,7
Mitchell,Mary,F,19.19153395,4.47318993,0,1
Peterson,Brenda,F,46.68367521,5.312088904,44.74428082,9
Stokley,George,M,44.60240143,4.41770495,93.42104381,4
Hauser,Harold,M,48.76869491,5.696230561,96.65594514,10
Russell,James,M,50.76459344,1.265974742,71.73266923,1
Mott,Daniel,M,59.01548877,3.241373868,109.2478897,4
Fernandez,Michael,M,35.98656738,4.453742125,12.57657646,10
Burton,Norman,M,51.39517039,3.682661001,34.0739579,8
Forrest,Tamara,F,57.43314763,5.885415633,154.8111128,2
Britt,Robert,M,52.65101839,5.299719684,90.2876122,9
Bennett,Jimmy,M,52.1874037,3.960580937,113.0661266,6
Watkins,Caitlin,F,51.77301121,3.908676273,106.5730043,8
Wann,Amy,F,35.11682533,5.865363012,12.10318321,9
Roberson,Dennis,M,52.99893588,4.219663308,84.32384993,8
Moore,Francis,M,43.73002137,5.168028157,66.34602697,3
Johnson,Philip,M,40.93856989,5.488107859,0,7
Parker,Karen,F,18.95983224,3.820712697,0,9
Skipper,Maria,F,57.87456,19.248894,72.92419805,8
Klein,Jennifer,F,53.312967,35.312967,0,2
Vaughn,Robert,M,32.50307819,4.664330299,0,9
Anthony,Juan,M,36.38184177,4.953196152,33.52879809,3
Lavalley,Glen,M,44.84727769,5.170380512,61.73170524,10
Bryant,Minerva,F,12.6843222,3.032072975,0,5
Elmore,Alfred,M,54.43216037,4.243228337,111.0545762,4
Johnson,Billy,M,60.37304921,2.251922005,174.6845171,9
Ceaser,Mary,F,37.098383,19.098383,46.77119065,4
Collier,Steven,M,44.93259,11.374388,41.62491736,10
Aaron,Michael,M,43.91164167,5.502563615,95.4168043,8
Moultrie,Kevin,M,45.45783561,4.594193677,22.49132554,10
Witt,Melissa,F,37.49657444,6.270841741,59.38794448,7
Duvall,Gina,F,49.67844,12.688541,57.22786992,4
Willard,Jeffrey,M,42.78966516,2.483440021,45.13933554,3
Jacobs,Thomas,M,34.80801888,6.462199055,50.51860074,9
Lopes,Larry,M,44.71639495,4.551809045,62.15482382,8
Wolfram,Betty,F,39.93536429,6.609689398,16.055531,10
Dunn,Heather,F,47.50043293,2.363185013,85.37866147,9
Kroon,Brent,M,44.185803,26.185803,0,2
Finke,Michael,M,41.60450461,4.004897104,39.67547177,10
Hulett,Florence,F,44.22969208,5.520121991,57.18578016,1
Ponce,Melanie,F,37.2991166,6.880356905,38.10079038,7
Ellis,Jeri,F,42.46407075,3.729081549,118.5860854,2
Cox,Conrad,M,39.31457,14.613758,28.89700216,2
Smith,Raymond,M,43.35590303,5.955207373,73.39635973,3
Banks,Ryan,M,48.48461962,4.929204151,86.86241559,6
Kendall,Bernadette,F,45.28880825,6.267979432,106.7733033,7
Fernandez,Brian,M,34.54452812,6.340696466,0,10
Labrie,Vicky,F,51.7865376,5.205942693,107.8343573,6
Ash,Christopher,M,43.46696293,2.826842165,10.68473537,7
Salisbury,Susan,F,37.71197934,2.218388271,31.99564508,9
Healy,Ann,F,51.03145944,7.100793025,131.023489,3
Blake,Edward,M,54.49284808,5.640629096,123.5629654,5
Vega,Yoshiko,F,28.9172471,2.244451155,21.03904881,1
Hamlin,Francis,F,55.70889907,5.225591189,173.8371942,3
Adams,Andre,M,43.19064154,8.109839161,20.93704925,3
Carruth,Mary,F,38.10720123,2.905915461,47.54204413,9
Turner,Robert,M,37.74238941,5.388619589,30.81552612,9
Norris,Kristin,F,36.48949145,7.144228322,27.60126686,2
Wiley,Mary,F,54.75064529,5.919600934,152.1244924,7
Francis,Jocelyn,F,44.77484922,4.778751376,39.57679255,10
Goff,Phillip,M,56.11144912,6.904709931,174.8647281,1
Reese,Amanda,F,34.11491876,1.620817039,4.006486432,10
Keating,David,M,35.97228115,3.579663341,65.57723116,4
McLaren,Francis,M,31.47856723,3.675621244,0,3
Colucci,Evelyn,F,35.7258357,4.155243385,44.50048614,9
Wilson,Beverly,F,30.61040793,5.348732049,0,8
Thomas,Ramon,M,44.57034084,4.188334866,91.35291618,10
Barnard,Georgia,F,38.19626612,6.728007933,59.95757031,7
Perez,Erin,F,38.31640412,5.005929687,28.53802654,9
Lindo,Susan,F,54.60035641,3.414992262,112.6071529,4
Furman,David,M,52.62338815,5.32818421,84.6091321,3
Neill,Kelly,M,32.62756763,5.880796835,20.52608989,7
Hilyard,Brian,M,29.37409177,4.395205208,0,5
Harder,Gary,M,36.14779144,3.136688027,26.70137233,8
Goode,Todd,M,46.19207185,3.959449201,28.78416405,5
Dunn,Barbara,F,32.16838201,5.768871951,40.49575113,2
Leblanc,Louis,M,39.94819217,3.641443235,49.90548322,10
Geist,Gregory,M,44.77063917,5.473203065,71.6224049,8
McCann,Hazel,F,40.23564643,7.969360463,22.72600698,7
Logan,James,M,47.7864692,5.409125372,20.11226488,6
Salinas,Ernest,M,21.96085504,2.81537022,0,2
Sherman,Viola,F,49.23854802,5.342303525,75.60492624,1
Santo,Hubert,M,38.48180344,3.983263282,3.026643536,4
Knotts,James,M,37.7312481,3.291196527,18.76798501,4
Gaddy,Tracy,M,57.08813022,5.422745919,122.660478,1
Holloway,Louisa,F,34.28082043,5.721009922,28.39811691,3
Fralick,Thelma,F,29.30370209,3.32828679,36.26095364,1
Lamm,Breanna,F,53.97279984,4.725270372,73.9432002,7
Gregor,William,M,55.75102139,5.605690978,85.85659878,10
Galligan,Gloria,F,49.4851649,4.274813211,74.28087994,10
Wilson,Frank,M,45.95132139,5.453772607,104.0283792,4
Tice,Andre,M,36.41103286,2.754126134,0,8
Weaver,Phillip,M,40.21737247,5.309408045,36.85759727,4
Marshall,Gwendolyn,F,43.05432623,4.870581501,38.29051282,8
Braud,Alfonso,M,38.38906678,4.968577776,28.63001058,1
Kelleher,Latonya,F,45.08977998,6.959476071,75.08140597,6
Gorski,Henrietta,F,58.95193483,5.312972212,146.0033861,2
Murray,Jennifer,F,29.6349007,7.847283569,46.67651007,3
Neill,Harry,M,64.1862768,4.613496212,198.6057962,3
Gelinas,Michael,M,37.25898016,3.624109308,0,10
Hansen,Earl,M,48.19952531,5.882760132,76.71632648,10
Russo,Lisa,F,11.77831479,4.873719892,0,4
Higginbotham,John,M,31.12161244,6.690682756,0,2
Hollen,Joseph,M,48.20856562,7.087451834,101.1876391,1
Utter,Charles,M,46.02262995,4.177042046,102.8105789,3
Crafton,Nancy,F,35.54491002,3.398417436,95.89296083,5
Curtis,Freida,F,53.03555014,2.68683175,139.6920268,3
Ashley,Bernice,F,47.74269834,4.31650222,68.54001737,5
Neal,Amanda,F,28.26400962,3.794655163,0,4
Courtois,Dennis,M,47.06341877,4.959406519,44.49102502,10
Mobley,Willie,M,41.25308043,4.310755835,0,4
Noriega,Mary,F,43.17225733,3.413951341,68.6669675,2
Moore,William,M,49.81724,26.083188,57.20654368,6
Barrientez,Xavier,M,38.65612904,4.986305222,0,10
Ingram,Kenneth,M,55.95054231,6.078620916,83.18389739,6
Ober,Steven,M,30.94561689,3.835034666,0,9
Hull,Craig,M,46.11313148,5.623581958,35.37072859,1
Davis,Lori,F,52.68017,5.079882,60.25250171,5
Sands,Diane,F,55.76493,15.906366,0,5
Watts,Ismael,M,45.91600372,3.975289361,65.69786089,7
Lynch,Raymond,M,47.0598613,5.691602847,86.27605733,1
Gerard,Kenneth,M,46.10034641,4.444679915,75.85883594,3
Daniel,Jennifer,F,55.01031,32.350609,113.9021614,1
Guzman,Sharon,F,38.84841513,1.974589769,40.50500469,7
Carbaugh,Monica,F,63.64067214,2.064808515,206.8713669,4
Espinoza,Steven,M,46.40050071,3.789111033,35.57021837,3
Mills,Tiffany,F,53.4876,9.940766,42.15238664,8
Chamness,Richard,M,45.8087373,3.814751013,107.7054315,8
Bricker,Jacqueline,F,38.19359343,4.489481218,71.13512797,7
Yokoyama,Jorge,M,61.03372746,2.429702833,181.0606009,9
Jackson,Justin,M,49.65137,21.960999,21.17797032,6
Gomez,Irene,F,39.23264,13.412318,0,10
Cromer,Arthur,M,27.19733271,3.300616625,0,10
Davis,Michael,M,49.737079,31.737079,0,4
Snowden,Linda,F,54.78184,17.754217,72.29939142,3
Helton,Mary,F,49.35642336,3.402556616,90.58930376,5
Shockley,Franklin,M,37.64279675,6.196562502,13.95236794,2
Johnstone,Armand,M,37.92292401,7.783429235,43.26658309,2
Linder,Janice,F,13.91701673,3.471968504,0,7
Gonzalez,Rodney,M,46.47444666,6.767435204,44.96931708,8
Stalder,Lawrence,M,42.26699217,5.240078791,39.06571163,8
Price,Daisy,F,49.70256092,3.907616472,127.1518493,2
Olson,Ronald,M,60.01328716,6.856205911,125.8763124,2
Collins,Timothy,M,41.20807653,6.954832391,58.95419875,5
Clay,William,M,53.77834729,3.574201195,129.270387,3
Davis,Paul,M,51.55788049,4.248976721,90.27111205,6
Snow,Darwin,M,49.3310176,4.248736359,73.93095013,10
Giuliani,Philip,M,40.68595999,4.326906054,7.234942941,6
Kwan,Mary,F,52.38056007,0.937085283,145.8827831,5
Moody,Bebe,F,34.47078152,4.392234231,23.06389,5
Burg,Eleanor,F,48.14741118,4.459393608,50.69225157,5
Zamora,Frances,F,42.04539396,3.551056692,87.10310132,6
Campbell,Jeremiah,M,48.32233424,7.209689888,79.00598166,1
Alvarado,Anabel,F,46.85967012,7.30558877,92.24606666,7
Hughes,Margaret,F,65.03202077,3.690163126,207.3551542,1
Collins,Grace,F,40.43092925,2.957327667,57.78513419,2
Cunningham,Lisa,F,44.70052933,3.467367139,57.47130909,3
Corcoran,Cassandra,F,48.73561807,5.43412175,75.48601993,4
Stier,Amy,F,24.77526856,3.924288439,0,7
Horton,Samuel,M,28.82467817,4.313249962,18.74347478,6
Jones,Jorge,M,40.099508,22.099508,120.3801664,6
Davenport,Leonard,M,54.422944,36.422944,0,3
Mullen,David,M,57.83862,6.323964,127.1443971,1
Dobbs,Samuel,M,46.26318447,2.822267528,55.34484555,1
Mendez,Linda,F,61.735239,43.735239,0,5
Hedges,Edward,M,41.3446638,2.973238555,59.28582039,10
Feldman,Troy,M,47.77542634,5.372207078,105.1862002,7
Booth,Blanca,F,54.04718271,5.787626946,120.2943088,9
Cummings,Lance,M,46.34636295,6.0577937,96.19213879,8
Bober,Colleen,F,50.94350018,3.828198897,146.0447595,8
Shaffer,Justin,M,49.77500929,5.617105011,66.93209081,8
Reyes,Lauren,F,62.96501,24.185418,75.94725642,6
Calles,Mary,F,45.6015481,3.421862484,105.2258301,1
Rowen,Todd,M,47.26951676,4.266009831,65.20146094,2
Meadows,Carlos,M,32.81371965,2.588848628,0,8
Hurlburt,Robert,M,54.64327627,7.579731906,115.6027095,9
Castillo,Angela,F,34.64718451,7.458751463,0,5
Noriega,Diane,F,37.87297462,7.155708557,0,2
Honaker,George,M,47.11875464,4.301489007,112.2035569,9
Westman,Stacy,M,19.51295987,2.563323475,0,4
Kuntz,Daniel,M,38.66283732,6.451447982,57.94548715,10
Alonzo,Janette,F,43.14466,23.478444,63.21600345,2
Walker,Yvette,F,48.73314194,4.425093038,73.92678067,1
Garcia,Maria,F,43.28842535,6.207171968,33.07679923,10
Myers,Patrick,M,43.90486891,2.719332403,96.66844471,6
Martinez,Esther,F,31.31040261,3.787033942,23.74644316,5
Norman,Willie,M,45.5682308,5.833924171,71.23074099,10
March,Joseph,M,58.13304183,7.806944723,95.95336768,1
Hays,Danny,M,54.779859,5.112717498,125.8604413,7
Patterson,Ryan,M,57.87101095,5.674411191,114.4136166,5
Joyce,Steve,M,48.69864812,5.431143371,43.80520345,6
Greenberg,Tami,F,38.89574259,2.676968457,55.55237954,10
Wood,Roland,M,47.6683812,4.621010613,68.91000358,5
Staub,Carrie,F,26.76805037,6.627176947,0,5
Crisp,Salvador,M,23.17755823,6.47552198,11.06662422,7
Drayton,Megan,F,47.29635022,4.629905433,125.8839935,8
Morris,Francisco,M,38.6933991,6.293848878,19.45913802,4
Stanko,Rose,F,35.79056103,5.177825531,0,1
Pollard,Katie,F,42.94779654,5.759253216,75.3966086,10
Lietz,Katrina,F,41.27476629,6.571548908,94.28295789,8
Carpentier,William,M,53.72168,12.259574,0,1
Johnson,Jennifer,F,63.6606,3.567056,110.1393004,4
McCloud,Michael,M,45.50482408,6.19227067,123.0983087,9
Martin,Jose,M,42.48329056,4.141059348,87.328194,8
Navarrete,Leonard,M,24.64311582,4.208221421,0,3
Buendia,Georgia,F,59.41045632,5.418940883,115.0429128,2
Cook,Joseph,M,16.50975473,5.659407016,0,8
Winship,Linda,F,53.68190138,4.262025469,159.1892618,7
Velez,Lori,F,50.29067228,3.194487001,128.5198368,9
Paxson,James,M,47.31162488,5.500839969,67.24244208,8
Foster,Robert,M,28.45488643,4.540981858,0,7
Acevedo,Earl,M,41.00684,20.690126,0,9
Oneal,Nancy,F,54.17344462,3.654554735,112.4176815,8
Hunter,Margaret,F,38.68350844,4.625218768,14.80722716,2
Miranda,Sonya,F,37.39941933,5.385136819,19.82535074,6
Hernandez,Walter,M,56.57166,10.702093,0,1
Russell,Linda,F,24.03801,6.03801,0,8
Howard,Ruby,F,57.48245355,4.996172316,188.8059986,2
Pickett,Marta,F,39.65132981,4.234270483,24.65164069,6
McDonald,Raquel,F,37.58016678,3.898129622,38.97862104,3
Usher,Clifton,M,45.70187,18.714494,0,1
Click,Audra,F,30.23772064,1.224984469,0,1
Whitman,Gary,M,47.44402299,7.191711717,133.2494689,3
Vargas,Susan,F,37.37674244,6.650815812,43.04919149,6
Owen,Jay,M,24.53199841,5.836590902,0,4
Hayes,Eric,M,49.81724,26.783065,31.5834116,6
Creighton,Marie,F,39.41713079,2.108584694,32.57782403,9
Briones,Karin,F,48.70922246,3.895792669,105.2711057,2
Kent,Charles,M,46.4872512,3.826643269,90.89500232,7
Jones,Jeremy,M,41.41336734,2.877208906,64.67104232,3
Pierce,Anita,F,42.25238159,1.257179097,40.36260299,10
Andrews,Sergio,M,52.68017,16.879339,0,10
Reeves,Freddy,M,33.55420357,3.694309276,0,3
Tovar,Sarah,F,34.64472079,3.537965175,21.78172758,1
Sullivan,Stephen,M,48.28562518,4.80028956,108.8888799,6
Alexander,Sarah,F,53.8894244,5.409040791,111.6737578,1
Hess,Charles,M,55.76493,33.688884,0,5
Nance,Elaine,F,55.01031,7.17544,126.5891578,4
Oneil,Austin,M,42.20679651,5.316107874,65.83063728,7
Arrington,Donna,F,40.72063863,4.921410713,89.09809241,3
Toliver,Betty,F,44.13614639,5.58846501,77.99267824,1
Cox,Sharon,F,55.6059169,4.280218839,162.071152,2
Moore,Charles,M,46.55622619,2.339814315,58.36254064,4
Adkins,Jane,F,35.13456681,4.123586358,13.91972288,2
Smith,Doris,F,58.07045982,3.666060258,202.2246554,3
Torres,Frances,F,53.4876,19.460694,60.32133848,7
Hall,Cristobal,M,56.98952573,3.759089845,154.2911492,9
Ruiz,Richard,M,55.82504,21.561588,73.09016728,9
Marin,Juan,M,28.43684102,5.854769847,0,9
Lee,Helen,F,67,1,0,1
Watts,April,F,43.16190211,6.35248055,59.13654597,3
Stevens,Matt,M,39.44189274,4.307552705,17.59603058,9
Hufford,Salena,F,32.29718696,1.574168973,50.37777309,2
Wood,Shawnee,F,44.58254104,5.357439351,116.6489239,7
Powell,Brittany,F,54.93292919,4.99494518,104.0819056,4
Richardson,Michael,M,29.06977848,5.37987874,0,4
Burt,Joy,F,52.87064743,4.148150737,114.5110495,7
Orsini,Marcus,M,38.73055301,2.051009579,12.2525326,5
Webb,Arthur,M,60.92573728,2.479067787,124.1534025,4
Hallock,Lorine,F,45.2344092,4.446572171,104.3010009,2
Knight,Cecelia,F,23.08029613,6.277629025,0,5
Archer,Renee,F,39.147491,21.147491,88.62749636,1
Doris,Richard,M,52.92548,7.862807,77.57512672,6
Tobey,Melissa,F,35.5451812,6.019761247,0,4
Sheffield,Rosemary,F,46.21123869,5.539763463,129.6330594,8
Rose,Leslie,M,62.39382381,3.130596532,84.82918503,2
Davis,Susan,F,45.18557692,5.448827437,82.20343689,4
Buda,Thomas,M,34.29581552,4.25825765,22.62732579,9
Haveman,Melinda,F,38.73361127,4.693169974,53.18199049,4
Jones,Shannon,M,58.12902481,7.157217516,113.121154,9
Hockman,Patricia,F,42.41074499,8.486237832,96.8403563,3
Hall,Lakeisha,F,56.46422,4.51336,93.22573738,9
Muir,Latonya,F,33.06526605,4.150117009,31.11766958,4
